#0513,Ãz­»µU,Pansear
#0514,Ãz­»·á,Simisear
#0515,§N¤ôµU,Panpour
#0516,§N¤ô·á,Simipour
#0517,­¹¹Ú¹Ú,Munna
#0518,¹Ú¹Ú»k,Musharna
#0519,¨§¨§ÂF,Pidove
#0520,©B©BÂF,Tranquill
#0521,°ª¶Æ¹nÂû,Unfezant
#0522,´³´³°¨,Blitzle
#0523,¹p¹q´³°¨,Zebstrika
#0524,¥Û¤Y¤l,Roggenrola
#0525,¦a¹÷©¥,Boldore
#0526,Ãe©¥©Ç,Gigalith
#0527,ºuºu½¿½»,Woobat
#0528,¤ß½¿½»,Swoobat
#0529,Á³°v¦a¹«,Drilbur
#0530,ÀsÀY¦a¹«,Excadrill
#0531,®t¤£¦h«½«½,Audino
#0532,·h¹B¤p¦K,Timburr
#0533,ÅK°©¤g¤H,Gurdurr
#0534,­×«Ø¦Ñ¦K,Conkeldurr
#0535,¶ê½Á°B,Tympole
#0536,ÂÅÃÊßï,Palpitoad
#0537,ÃÊßï¤ý,Seismitoad
#0538,§ëºL°­,Throh
#0539,¥´À»°­,Sawk
#0540,ÂÎÄ_¥],Sewaddle
#0541,Ä_¥]Ãµ,Swadloon
#0542,«O¥ÀÂÎ,Leavanny
#0543,¦Ê¨¬¸¼°G,Venipede
#0544,¨®½ü²A,Whirlipede
#0545,¸¼°G¤ý,Scolipede
#0546,¤ì´Ö²y*,Cottonee
#0547,­·§¯ºë*,Whimsicott
#0548,¦Ê¦X®Ú«½«½,Petilil
#0549,¸È¨à¤p©j,Lilligant
#0549,¸È¨à¤p©j,Lilligant
10229,¬~»Aªº¼Ë¤l,Lilligant
#0550,³¥ÆZÆt³½,Basculin
10247,,Basculin
#0551,¶Â²´Æs,Sandile
#0552,²V²VÆs,Krokorok
#0553,¬yª]Æs,Krookodile
#0554,¤õ¬õ¤£­Ë¯Î,Darumaka
#0554,¤õ¬õ¤£­Ë¯Î,Darumaka
10173,¦÷°Çº¸ªº¼Ë¤l,Darumaka
#0555,¹F¼¯ÍaÍa,Darmanitan
#0555,¹F¼¯ÍaÍa,Darmanitan
10017,,Darmanitan
10174,¦÷°Çº¸ªº¼Ë¤l,Darmanitan
10175,,Darmanitan
#0556,¨F¹a¥P¤H´x,Maractus
#0557,¥Û©~ÃÉ,Dwebble
#0558,©¥·µ©~ÃÉ,Crustle
#0559,·Æ·Æ¤p¤l,Scraggy
#0560,ÀY¤y²V²V,Scrafty
#0561,¶H¼x³¾,Sigilyph
#0562,­ú­ú­±¨ã,Yamask
#0562,­ú­ú­±¨ã,Yamask
10176,¦÷°Çº¸ªº¼Ë¤l,Yamask
#0563,¦º¯«´Ã,Cofagrigus
#0564,­ì»\®üÀt,Tirtouga
#0565,¦Ø°©®üÀt,Carracosta
#0566,©l¯ª¤p³¾,Archen
#0567,©l¯ª¤j³¾,Archeops
#0568,¯}¯}³U,Trubbish
#0569,¦Ç¹Ð¤s,Garbodor
#0570,¯ÁÃ¹¨È,Zorua
#0570,¯ÁÃ¹¨È,Zorua
10230,¬~»Aªº¼Ë¤l,Zorua
#0571,¯ÁÃ¹¨È§J,Zoroark
#0571,¯ÁÃ¹¨È§J,Zoroark
10231,¬~»Aªº¼Ë¤l,Zoroark
#0572,ªwªj®ß¹«,Minccino
#0573,©_¿Õ®ß¹«,Cinccino
#0574,­ô¼wÄ_Ä_,Gothita
#0575,­ô¼w¤pµ£,Gothorita
#0576,­ô¼w¤p©j,Gothitelle
#0577,³æ§Z²Ó­M²y,Solosis
#0578,Âù§Z²Ó­M²y,Duosion
#0579,¤H³y²Ó­M§Z,Reuniclus
#0580,ÀnÄ_Ä_,Ducklett
#0581,»R¤ÑÃZ,Swanna
#0582,°g§A¦B,Vanillite
#0583,¦h¦h¦B,Vanillish
#0584,Âù­¿¦h¦h¦B,Vanilluxe
#0585,¥|©u³À,Deerling
10340,,Deerling
10341,,Deerling
10342,,Deerling
#0586,µÞªÞ³À,Sawsbuck
10343,,Sawsbuck
10344,,Sawsbuck
10345,,Sawsbuck
#0587,¹q­¸¹«,Emolga
#0588,»\»\ÂÎ,Karrablast
#0589,ÃM¤h½½¤û,Escavalier
#0590,«u§r²yÛ£,Foongus
#0591,±ÑÅS²yÛ£,Amoonguss
#0592,»´ÄÆÄÆ,Frillish
#0593,­D¹Ê¹Ê,Jellicent
#0594,«O¥À°Òªi,Alomomola
#0595,¹q¹qÂÎ,Joltik
#0596,¹q»jµï,Galvantula
#0597,ºØ¤lÅK²y,Ferroseed
#0598,°íªG°×¹a,Ferrothorn
#0599,¾¦½ü¨à,Klink
#0600,¾¦½ü²Õ,Klang
#0601,¾¦½ü©Ç,Klinklang
#0602,³Â³Â¤p³½,Tynamo
#0603,³Â³ÂÅÁ,Eelektrik
#0604,³Â³ÂÅÁ³½¤ý,Eelektross
#0605,¤p¦Ç©Ç,Elgyem
#0606,¤j¦t©Ç,Beheeyem
#0607,Àë¥úÆF,Litwick
#0608,¿O¤õ«ÕÆF,Lampent
#0609,¤ô´¹¿O¤õÆF,Chandelure
#0610,¤ú¤ú,Axew
#0611,©ò¤úÀs,Fraxure
#0612,Âù©ò¾ÔÀs,Haxorus
#0613,¼QÀ¡ºµ,Cubchoo
#0614,­á­ìºµ,Beartic
#0615,´X¦ó³·ªá,Cryogonal
#0616,¤p¼L½½,Shelmet
#0617,±Ó±¶ÂÎ,Accelgor
#0618,ªd¤Ú³½,Stunfisk
#0618,ªd¤Ú³½,Stunfisk
10177,¦÷°Çº¸ªº¼Ë¤l,Stunfisk
#0619,¥\¤ÒÃ^,Mienfoo
#0620,®v¤÷Ã^,Mienshao
#0621,¨ª­±Às,Druddigon
#0622,ªd°¸¤p¤H,Golett
#0623,ªd°¸¥¨¤H,Golurk
#0624,¾s¤M¤p§L,Pawniard
#0625,¼A±Ù¥q¥O,Bisharp
#0626,Ãz¬µÀY¤ô¤û,Bouffalant
#0627,¤òÀY¤pÆN,Rufflet
#0628,«i¤h¶¯ÆN,Braviary
#0628,«i¤h¶¯ÆN,Braviary
,¬~»Aªº¼Ë¤l,
#0629,¨rÆN¤XÀY,Vullaby
#0630,¨rÆN®R,Mandibuzz
#0631,º²ÃÆÃ~,Heatmor
#0632,ÅKÃÆ,Durant
#0633,³æ­ºÀs,Deino
#0634,Âù­º¼ÉÀs,Zweilous
#0635,¤T­º´cÀs,Hydreigon
#0636,¿U¿NÂÎ,Larvesta
#0637,¤õ¯«¸¿,Volcarona
#0638,¤Ä©¬¸ô¯Î,Cobalion
#0639,¥N©Ô°ò¯Î,Terrakion
#0640,²¦¤O¦N¯Î,Virizion
#0641,Às±²¶³,Tornadus
10019,,Tornadus
#0642,¹p¹q¶³,Thundurus
10020,,Thundurus
#0643,µÜ§Æ©Ô©i,Reshiram
#0644,±¶§JÃ¹©i,Zekrom
#0645,¤g¦a¶³,Landorus
10021,,Landorus
#0646,­©¹p©i,Kyurem
10022,,Kyurem
10023,,Kyurem
#0647,³Í¸ô­}¼Ú,Keldeo
10024,,Keldeo
#0648,¬ü¬¥­C¶ð,Meloetta
10018,,Meloetta
#0649,»\¿ÕÁÉ§J¯S,Genesect
20005,,Genesect
²Ä¤»¥@¥NÄ_¥i¹Ú,,
½s¸¹,Ä_¥i¹Ú,
,¤¤¤å,­^¤å
#0650,«¢¤O®ß,Chespin
#0651,­D­D«¢¤O,Quilladin
#0652,¥¬¨½¥d¶©,Chesnaught
#0653,¤õª°¯W,Fennekin
#0654,ªø§À¤õª°,Braixen
#0655,§¯¤õ¬õª°,Delphox
#0656,©K©Kªwµì,Froakie
#0657,©KÀYµì,Frogadier
#0658,¥Ò¶P§Ôµì,Greninja
10117,,Greninja
#0659,±¸±¸¨ß,Bunnelby
#0660,±¸¦a¨ß,Diggersby
#0661,¤p½b³¶,Fletchling
#0662,¤õ½b³¶,Fletchinder
#0663,¯P½bÆN,Talonflame
#0664,¯»½ºÂÎ,Scatterbug
#0665,¯»½º¸º,Spewpa
#0666,±m¯»½º,Vivillon
10321,,Vivillon
10322,,Vivillon
10323,,Vivillon
10324,,Vivillon
10325,,Vivillon
10326,,Vivillon
10327,,Vivillon
10328,,Vivillon
10329,,Vivillon
10330,,Vivillon
10331,,Vivillon
10332,,Vivillon
10333,,Vivillon
10334,,Vivillon
10335,,Vivillon
10336,,Vivillon
10337,,Vivillon
10338,,Vivillon
10339,,Vivillon
#0667,¤p·à·à,Litleo
#0668,¤õª¢·à,Pyroar
#0669,ªá»_»_,Flabebe
10305,,Flabebe
10306,,Flabebe
10307,,Flabebe
10308,,Flabebe
#0670,ªá¸­¸¦,Floette
10309,,Floette
10310,,Floette
10311,,Floette
10312,,Floette
#0671,ªá¼ä¤Ò¤H,Florges
10313,,Florges
10314,,Florges
10315,,Florges
10316,,Florges
#0672,§¤ÃM¤p¦Ï,Skiddo
#0673,§¤ÃM¤s¦Ï,Gogoat
#0674,¹x¥Öºµ¿ß,Pancham
#0675,¬yª]ºµ¿ß,Pangoro
#0676,¦hÄR¦Ì¨È,Furfrou
10381,,Furfrou
10382,,Furfrou
10383,,Furfrou
10384,,Furfrou
10385,,Furfrou
10386,,Furfrou
10387,,Furfrou
10388,,Furfrou
10389,,Furfrou
#0677,§®Øp,Espurr
#0678,¶W¯à§®Øp,Meowstic
#0679,¿W¼CÀT,Honedge
#0680,Âù¼CÀT,Doublade
#0681,°í¬Þ¼C©Ç,Aegislash
10026,,Aegislash
#0682,¯»­»­»,Spritzee
#0683,ªÚ­»ºë,Aromatisse
#0684,ºøºøªwªÜ,Swirlix
#0685,­D²¢©g,Slurpuff
#0686,¦n°Õ¾{,Inkay
#0687,¯Q¸é¤ý,Malamar
#0688,Àt¸}¸},Binacle
#0689,Àt¨¬¥¨ñZ,Barbaracle
#0690,©U©UÄ¦,Skrelp
#0691,¬rÄ¦Às,Dragalge
#0692,ÅKÁuºj½¼,Clauncher
#0693,¿û¬¶Áu½¼,Clawitzer
#0694,³Ê¹q»h,Helioptile
#0695,¥ú¹q³Ê»h,Heliolisk
#0696,Ä_Ä_¼ÉÀs,Tyrunt
#0697,©ÇÃEÀs,Tyrantrum
#0698,¦B³·Às,Amaura
#0699,¦B³·¥¨Às,Aurorus
#0700,¥P¤l¥ì¥¬,Sylveon
#0701,ºL¨¤ÆN¤H,Hawlucha
#0702,©N©N¹«,Dedenne
#0703,¤p¸HÆp,Carbink
#0704,ÂHÂHÄ_,Goomy
#0705,ÂH¬ü¨à,Sliggoo
#0705,ÂH¬ü¨à,Sliggoo
10233,¬~»Aªº¼Ë¤l,Sliggoo
#0706,ÂH¬üÀs,Goodra
#0706,ÂH¬üÀs,Goodra
10234,¬~»Aªº¼Ë¤l,Goodra
#0707,Æ_°é¨à,Klefki
#0708,¤p¤ìÆF,Phantump
#0709,¦´¤ì§¯,Trevenant
#0710,«n¥Êºë,Pumpkaboo
10027,,Pumpkaboo
10028,,Pumpkaboo
10029,,Pumpkaboo
#0711,«n¥Ê©Ç¤H,Gourgeist
10030,,Gourgeist
10031,,Gourgeist
10032,,Gourgeist
#0712,¦BÄ_,Bergmite
#0713,¦B©¥©Ç,Avalugg
#0713,¦B©¥©Ç,Avalugg
10235,¬~»Aªº¼Ë¤l,Avalugg
#0714,¶ä½»,Noibat
#0715,­µªiÀs,Noivern
#0716,­õº¸¥§¨È´µ,Xerneas
10346,,Xerneas
#0717,¥ì»pº¸¶ðº¸,Yveltal
#0718,°ò®æº¸¼w,Zygarde
10118,,Zygarde
10120,,Zygarde
20001,,Zygarde
#0719,¸¦¦w§Æ,Diancie
#0720,­J©¬,Hoopa
#0721,ªiº¸³Í¥§®¦,Volcanion
²Ä¤C¥@¥NÄ_¥i¹Ú,,
½s¸¹,Ä_¥i¹Ú,
,¤¤¤å,­^¤å
#0722,¤ì¤ì±ú,Rowlet
#0723,§ë¦Ð±ú,Dartrix
#0724,ª®®g¾ð±ú,Decidueye
#0724,ª®®g¾ð±ú,Decidueye
10236,¬~»Aªº¼Ë¤l,Decidueye
#0725,¤õ´³Øp,Litten
#0726,ª¢¼öØp,Torracat
#0727,¿KµK©H­ýªê,Incineroar
#0728,²y²y®ü·à,Popplio
#0729,ªáºy®ü·à,Brionne
#0730,¦è·à®ü¤Ð,Primarina
#0731,¤p¿w¨à,Pikipek
#0732,³â¥z°Ö³¾,Trumbeak
#0733,à¶¼L¤j³¾,Toucannon
#0734,¿ßÃ^¤Ö,Yungoos
#0735,¿ßÃ^±´ªø,Gumshoos
#0736,±jÃEÂû¥ÀÂÎ,Grubbin
#0737,ÂÎ¹qÄ_,Charjabug
#0738,Áê¹A¬¶ÂÎ,Vikavolt
#0739,¦n³ÓÃÉ,Crabrawler
#0740,¦n³Ó¤òÃÉ,Crabominable
#0741,ªá»R³¾,Oricorio
10123,,Oricorio
10214,,Oricorio
10125,,Oricorio
#0742,µÞ­j,Cutiefly
#0743,½ºµ²µÞ­j,Ribombee
#0744,©¥ª¯ª¯,Rockruff
#0745,ÃO©¥¯T¤H,Lycanroc
10126,,Lycanroc
10152,,Lycanroc
#0746,®z¤B³½,Wishiwashi
10127,,Wishiwashi
#0747,¦nÃa¬P,Mareanie
#0748,¶WÃa¬P,Toxapex
#0749,ªdÆj¥J,Mudbray
#0750,­«ªd®¾°¨,Mudsdale
#0751,ºwµï,Dewpider
#0752,ºwµïÅQ,Araquanid
#0753,°°Á®¯ó,Fomantis
#0754,ÄõÁ®ªá,Lurantis
#0755,ºÎºÎÛ£,Morelull
#0756,¿O¸n©]Û£,Shiinotic
#0757,©]µs¤õ»h,Salandit
#0758,µK¦Z»h,Salazzle
#0759,µ£°¸ºµ,Stufful
#0760,¬ïµÛºµ,Bewear
#0761,²¢¦Ë¦Ë,Bounsweet
#0762,²¢»R©g,Steenee
#0763,²¢§N¬ü¦Z,Tsareena
#0764,ªáÀøÀôÀô,Comfey
#0765,´¼´§µV,Oranguru
#0766,§ëÂYµU,Passimian
#0767,Áx¤pÂÎ,Wimpod
#0768,¨ã¥ÒªZªÌ,Golisopod
#0769,¨F¥C«½,Sandygast
#0770,¾½¨F³ù·Ý,Palossand
#0771,®±®ü°Ñ,Pyukumuku
#0772,ÄÝ©Ê¡GªÅ,Type: Null
#0773,»È¦ñ¾ÔÃ~,Silvally
10364,,Silvally
10365,,Silvally
10366,,Silvally
10367,,Silvally
10368,,Silvally
10369,,Silvally
10370,,Silvally
10371,,Silvally
10372,,Silvally
10373,,Silvally
10374,,Silvally
10375,,Silvally
10376,,Silvally
10377,,Silvally
10378,,Silvally
10379,,Silvally
10380,,Silvally
#0774,¤p¹k¬P,Minior
10130,,Minior
10131,,Minior
10132,,Minior
10133,,Minior
10134,,Minior
10135,,Minior
10136,,Minior
10137,,Minior
10138,,Minior
10139,,Minior
10140,,Minior
10141,,Minior
10142,,Minior
20009,,Minior
#0775,¾ðªE§Àºµ,Komala
#0776,ÃzµKÀtÃ~,Turtonator
#0777,¦«¤à¼wº¿º¸,Togedemaru
#0778,Á¼ÀÀ¢ß,Mimikyu
10143,,Mimikyu
#0779,¿i¤ú±m¥Ö³½,Bruxish
#0780,¦Ñ¯ÎÀs,Drampa
#0781,¯}¯}²ë½ü,Dhelmise
#0782,¤ßÅìÄ_,Jangmo-o
#0783,Åì¥ÒÀs,Hakamo-o
#0784,§ú§ÀÅì¥ÒÀs,Kommo-o
#0785,¥d¿\?»ï»ï,Tapu Koko
#0786,¥d¿\?½º½º,Tapu Lele
#0787,¥d¿\?ÎNÎN,Tapu Bulu
#0788,¥d¿\?Å_Å_,Tapu Fini
#0789,¬ì´µ²ö¥j,Cosmog
#0790,¬ì´µ²ö©i,Cosmoem
#0791,¯Áº¸­{¹p¼Ú,Solgaleo
#0792,ÅS©`¶®©Ô,Lunala
#0793,µê§^¥ì¼w,Nihilego
#0794,Ãz¦Ù°A,Buzzwole
#0795,¶O¬¥¬ü½¸,Pheromosa
#0796,¹q§ô¤ì,Xurkitree
#0797,ÅK¤õ½÷©],Celesteela
#0798,¯È±s¼C,Kartana
#0799,´c­¹¤j¤ý,Guzzlord
#0800,©`§J¬¥¯÷º¿,Necrozma
10155,,Necrozma
10156,,Necrozma
10157,,Necrozma
#0801,º¿¾÷¶®®R,Magearna
10147,,Magearna
#0802,º¿®L¦h,Marshadow
20002,,Marshadow
#0803,¬r¨©¤ñ,Poipole
#0804,¥|ÃE°wÀs,Naganadel
#0805,ÂS½U¥Û,Stakataka
#0806,¯yÀY¤p¤¡,Blacephalon
#0807,±¶©Ô¶ø©Ô,Zeraora
#0808,¬ü¿ý©Z,Meltan
#0809,¬ü¿ý±ö¶ð,Melmetal
²Ä¤K¥@¥NÄ_¥i¹Ú,,
½s¸¹,Ä_¥i¹Ú,
,¤¤¤å,­^¤å
#0810,ºV­µµU,Grookey
#0811,°Ô©NµU,Thwackey
#0812,ÅF¾Ýª÷­èµV,Rillaboom
#0813,ª¢¨ß¨à,Scorbunny
#0814,ÄËÃà¤p±N,Raboot
#0815,°{µK¤ýµP,Cinderace
#0816,²\²´»h,Sobble
#0817,ÅÜÀß»h,Drizzile
#0818,¤d­±Á×§Ð,Inteleon
#0819,³g¤ß®ß¹«,Skwovet
#0820,ÂÃ¹¡®ß¹«,Greedent
#0821,¸X¤s³¶,Rookidee
#0822,ÂÅ¾~,Corvisquire
#0823,¿ûñZ¾~,Corviknight
#0824,¯Á°»ÂÎ,Blipbug
#0825,¤Ñ¸nÂÎ,Dottler
#0826,¥H¼Ú¸ô´¶,Orbeetle
#0827,°½¨àª°,Nickit
#0828,ª°¤jµs,Thievul
#0829,¥®´Ö´Ö,Gossifleur
#0830,¥Õ½´½´,Eldegoss
#0831,¤òÄ|¦Ï,Wooloo
#0832,¤ò¤ò¨¤¦Ï,Dubwool
#0833,«r«rÀt,Chewtle
#0834,¼É¾½Àt,Drednaw
#0835,¨Ó¹q¨L,Yamper
#0836,³v¹q¤ü,Boltund
#0837,¤p¬´¥J,Rolycoly
#0838,¤j¬´¨®,Carkol
#0839,¥¨¬´¤s,Coalossal
#0840,°ÙªGÂÎ,Applin
#0841,Ä«»qÀs,Flapple
#0842,Â×»eÀs,Appletun
#0843,¨F¥]³D,Silicobra
#0844,¨FÁ³Á¯,Sandaconda
#0845,¥j¤ë³¾,Cramorant
10243,,Cramorant
10244,,Cramorant
#0846,¨ë±ô³½,Arrokuda
#0847,Ì²¤æ¦y±ô,Barraskewda
#0848,¬r¹qÀ¦,Toxel
#0849,Å¸©¶ôÆë`,Toxtricity
10178,,Toxtricity
#0850,¿N¤õ°G,Sizzlipede
#0851,µIµK°G,Centiskorch
#0852,®±®±ßê,Clobbopus
#0853,¤K¤öªZ®v,Grapploct
#0854,¨Ó´d¯ù,Sinistea
#0855,©Æ«ä³ý,Polteageist
#0856,°g¥¬²ú©i,Hatenna
#0857,´£¥¬²ú©i,Hattrem
#0858,¥¬²ú©i·Å,Hatterene
#0859,·o³J¤p§¯,Impidimp
#0860,¶B°äÅ],Morgrem
#0861,ªø¤ò¥¨Å],Grimmsnarl
#0862,°ôÄdºµ,Obstagoon
#0863,ØpÀY¥Ø,Perrserker
#0864,Å]ÆF¬À·ä,Cursola
#0865,½µ¹C§L,Sirfetch'd
#0866,½ñ¦B¤H°¸,Mr. Rime
#0867,¦º¯«ªO,Runerigus
#0868,¤p¥P¥¤,Milcery
#0869,Á÷¥¤¥P,Alcremie
#0870,¦C°}§L,Falinks
#0871,°ÔìÀ®üÁx,Pincurchin
#0872,³·§]ÂÎ,Snom
#0873,³·µ³¸¿,Frosmoth
#0874,¥¨¥Û¤B,Stonjourner
#0875,¦B¬äÃZ,Eiscue
10179,,Eiscue
#0876,·RºÞ¨Í,Indeedee
#0877,²ö¾|¨©¥i,Morpeko
#0878,»É¶H,Cufant
#0879,¤j¤ý»É¶H,Copperajah
#0880,¹p³¾Às,Dracozolt
#0881,¹p³¾®üÃ~,Arctozolt
#0882,ÄÎ³½Às,Dracovish
#0883,ÄÎ³½®üÃ~,Arctovish
#0884,¾T¿ûÀs,Duraludon
#0885,¦hÀs±ö¦è¨È,Dreepy
#0886,¦hÀs©_,Drakloak
#0887,¦hÀs¤Ú¾|¦«,Dragapult
#0888,»aÅT,Zacian
10181,,Zacian
#0889,ÂÃº¿µM¯S,Zamazenta
10182,,Zamazenta
#0890,µL·¥¨O¨º,Eternatus
#0891,ºµ®{§Ì,Kubfu
#0892,ªZ¹Dºµ®v,Urshifu
10183,,Urshifu
#0893,ÂÄ¼®¼w,Zarude
10246,,Zarude
#0894,¹p¦N¦ã°Ç©_,Regieleki
#0895,¹p¦NÅM©Ô¤à,Regidrago
#0896,³·¼É°¨,Glastrier
#0897,ÆF«Õ°¨,Spectrier
#0898,Á¢«a¤ý,Calyrex
10184,,Calyrex
10185,,Calyrex
#0899,¸Þ¨¤³À,Wyrdeer
#0900,¼A©òÁ®½¸,Kleavor
#0901,¤ë¤ëºµ,Ursaluna
10272,,Ursaluna
#0902,«Õ§À¥È³½,Basculegion
#0903,¤jËc©Ô,Sneasler
#0904,¸U°w³½,Overqwil
#0905,²²ÅÊ¶³,Enamorus
10249,,Enamorus
²Ä¤E¥@¥NÄ_¥i¹Ú,,
½s¸¹,Ä_¥i¹Ú,
,¤¤¤å,­^¤å
#0906,·s¸­Øp,Sprigatito
#0907,¸¦Á¢Øp,Floragato
#0908,Å]¤Û°²­±Øp,Meowscarada
#0909,§b¤õÆs,Fuecoco
#0910,ª¥¿SÆs,Crocalor
#0911,°©¯¾¥¨ÁnÆs,Skeledirge
#0912,¼í¤ôÀn,Quaxly
#0913,´éÅDÀn,Quaxwell
#0914,¨gÅw®ö»RÀn,Quaquaval
#0915,·R¦Y³b,Lechonk
#0916,ÄÆ­»³b,Oinkologne
#0917,¹Î¯]µï,Tarountula
#0918,¾Þ³´µï,Spidops
#0919,¨§ÁµÁ¬,Nymble
#0920,¯P»L½À,Lokix
#0921,¥¬¼·,Pawmi
#0922,¥¬¤g¼·,Pawmo
#0923,¤Ú¥¬¤g¼·,Pawmot
#0924,¤@¹ï¹«,Tandemaus
#0925,¤@®a¹«,Maushold
10257,,Maushold
#0926,ª¯¥J¥],Fidough
#0927,³Âªá¤ü,Dachsbun
#0928,°g§AªÜ,Smoliv
#0929,¶ø§Q¯Ã,Dolliv
#0930,¶ø§Q¥Ë,Arboliva
#0931,«ãÆx­ô,Squawkabilly
10260,,Squawkabilly
10261,,Squawkabilly
10262,,Squawkabilly
#0932,ÆQ¥ÛÄ_,Nacli
#0933,ÆQ¥ÛÂS,Naclstack
#0934,ÆQ¥Û¥¨ÆF,Garganacl
#0935,¬´¤p¨Í,Charcadet
#0936,¬õ½¬ñZÃM,Armarouge
#0937,»aª¢¤b°­,Ceruledge
#0938,¥ú°B¥J,Tadbulb
#0939,¹q¨{µì,Bellibolt
#0940,¹q®ü¿P,Wattrel
#0941,¤j¹q®ü¿P,Kilowattrel
#0942,°¸¥sæv,Maschiff
#0943,æv±Ð¤÷,Mabosstiff
#0944,´þ¥ÄÅÄ,Shroodle
#0945,¶î¼Ð«È,Grafaiai
#0946,¯Ç¾½¯ó,Bramblin
#0947,©Æ¯Ç¾½¯ó,Brambleghast
#0948,­ì³¥¤ô¥À,Toedscool
#0949,³°¦a¤ô¥À,Toedscruel
#0950,¤ò±VÃÉ,Klawf
#0951,¼ö»¶«½,Capsakid
#0952,¬½»¶´Ô,Scovillain
#0953,ÂÎºuªd,Rellor
#0954,ÂÎ¥Ò¸t,Rabsca
#0955,ÄÆÄÆÂú,Flittle
#0956,¶W¯àÆvÀk,Espathra
#0957,¤pÁë¦K,Tinkatink
#0958,¥©Áë¦K,Tinkatuff
#0959,¥¨Áë¦K,Tinkaton
#0960,®ü¦a¹«,Wiglett
#0961,¤T®ü¦a¹«,Wugtrio
#0962,¤U¥Û³¾,Bombirdier
#0963,ªi´¶®ü³b,Finizen
#0964,®ü³b«L,Palafin
10256,,Palafin
#0965,¼P¶©¶©,Varoom
#0966,´¶¶©¶©©i,Revavroom
#0967,¼¯¦«»h,Cyclizar
20003,,Cyclizar
20004,,Cyclizar
#0968,©ì©ì°C,Orthworm
#0969,´¹¥úªÞ,Glimmet
#0970,´¹¥úªá,Glimmora
#0971,¹Ó¥Jª¯,Greavard
#0972,¹Ó´­¤ü,Houndstone
#0973,Äñ¬õÅb,Flamigo
#0974,¨«ÄH,Cetoddle
#0975,¯E¤jÄH,Cetitan
#0976,»´¨­÷«,Veluza
#0977,¦Y§qÅQ,Dondozo
#0978,¦Ì¥ßÀs,Tatsugiri
10258,,Tatsugiri
10259,,Tatsugiri
#0979,±ó¥@µU,Annihilape
#0980,¤g¤ý,Clodsire
#0981,©_ÄQÅï,Farigiraf
#0982,¤gÀs¸`¸`,Dudunsparce
10255,,Dudunsparce
#0983,¤²±Ù±N­x,Kingambit
#0984,¶¯°¶¤ú,Great Tusk
#0985,§q¥s§À,Scream Tail
#0986,²r´cÛ£,Brute Bonnet
#0987,®¶Ál¾v,Flutter Mane
#0988,ª¦¦a¯Í,Slither Wing
#0989,¨FÅK¥Ö,Sandy Shocks
#0990,ÅKÂá¸ñ,Iron Treads
#0991,ÅK¥]µö,Iron Bundle
#0992,ÅKÁu»H,Iron Hands
#0993,ÅK²äÀV,Iron Jugulis
#0994,ÅK¬r¸¿,Iron Moth
#0995,ÅK¯ð´Æ,Iron Thorns
#0996,²D¯áÀs,Frigibax
#0997,­á¯áÀs,Arctibax
#0998,´u¯áÀs,Baxcalibur
#0999,¯Á°]ÆF,Gimmighoul
10263,,Gimmighoul
#1000,ÁÉ´I»¨,Gholdengo
#1001,¥jÂ²½½,Wo-Chien
#1002,¥j¼C°\,Chien-Pao
#1003,¥j¹©³À,Ting-Lu
#1004,¥j¥É³½,Chi-Yu
#1005,ÅF»ï¤ë,Roaring Moon
#1006,ÅKªZªÌ,Iron Valiant
#1007,¬G°Ç¹y,Koraidon
10265,,Koraidon
10267,,Koraidon
#1008,±K°Ç¹y,Miraidon
10269,,Miraidon
10271,,Miraidon
#1009,ªi¿º¤ô,Walking Wake
#1010,ÅK´³¸­,Iron Leaves
#1011,»q»eÂÎ,Dipplin
#1012,´µÅ]¯ù,Poltchageist
#1013,¨Ó´d²Ê¯ù,Sinistcha
#1014,°÷Ægª¯,Okidogi
#1015,Ä@¼W·á,Munkidori
#1016,¦N¹nÂû,Fezandipiti
#1017,¤Ì°­Ù®,Ogerpon
10273,,Ogerpon
10274,,Ogerpon
10275,,Ogerpon
#1018,¾T¿û¾ôÀs,Archaludon
#1019,»e¶°¤j³D,Hydrapple
#1020,¯}ªÅµK,Gouging Fire
#1021,²r¹p¹ª,Raging Bolt
#1022,ÅK½Y©¥,Iron Boulder
#1023,ÅKÀY´ß,Iron Crown
#1024,¤Ó¼Ö¤Ú¤à´µ,Terapagos
#1025,®ç¤ï­¦,Pecharunt
